STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Nagaland,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6,1,4,3,7,3,8,15,11,13,9,16
Odisha,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1655,1605,1669,1811,2238,2415,2775,2782,2697,2905,3207,4187
Punjab,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,372,341,346,261,308,314,427,388,319,349,282,340
Rajasthan,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2878,2730,2715,2825,2503,2582,2477,2520,2485,2339,2447,2352
Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,17,25,40,38,14,13,19,10,11,24,19
Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1773,1877,2022,1861,1764,1179,1540,1705,1242,1405,1467,1494
Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,58,128,127,134,161,207,244,346,384,376,294,314
Uttar Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2870,2145,1098,1900,1835,2096,2522,2955,2782,2793,3455,3247
Uttarakhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,103,145,136,143,100,153,146,120,119,125,116,139
West Bengal,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,954,964,1186,1566,1572,1837,2281,2396,1942,2465,2363,3345
A&N Islands,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19,17,9,6,11,14,21,24,30,31,15,17
Chandigarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,24,36,11,20,31,20,32,19,26,29,21,45
D&N Haveli,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7,3,4,5,5,5,0,4,2,11,2,2
Daman & Diu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,0,3,1,1,2,0,2,4,2,0,0
Delhi UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,502,446,489,601,762,718,868,611,552,601,657,727
Lakshadweep,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,1,1,0,0,0,2,0,0,0,0,1
Puducherry,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,35,59,56,50,60,56,89,65,53,46,35,9
All India,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,34124,33943,32939,34567,34175,36617,38734,40413,38711,40613,42968,45351
Andhra Pradesh,INSULT TO THE MODESTY OF WOMEN,2271,2024,2286,2310,2508,2411,3316,3551,3520,4562,3658,3714
Arunachal Pradesh,INSULT TO THE MODESTY OF WOMEN,3,2,0,0,0,2,1,1,6,1,0,2
Assam,INSULT TO THE MODESTY OF WOMEN,4,7,6,11,19,10,10,2,10,20,8,5
Bihar,INSULT TO THE MODESTY OF WOMEN,21,6,11,13,13,53,12,21,12,16,11,37
Chhattisgarh,INSULT TO THE MODESTY OF WOMEN,161,147,105,131,132,143,111,125,152,182,174,162
Goa,INSULT TO THE MODESTY OF WOMEN,7,6,7,15,8,7,7,12,10,16,12,16
Gujarat,INSULT TO THE MODESTY OF WOMEN,111,104,92,164,104,138,120,122,114,110,93,93
Haryana,INSULT TO THE MODESTY OF WOMEN,401,1424,1302,850,597,491,409,605,605,580,490,434
Himachal Pradesh,INSULT TO THE MODESTY OF WOMEN,14,12,18,16,29,31,33,41,37,78,62,68
Jammu & Kashmir,INSULT TO THE MODESTY OF WOMEN,288,368,376,264,371,347,353,296,371,262,350,347
Jharkhand,INSULT TO THE MODESTY OF WOMEN,5,3,2,3,36,44,15,23,83,16,7,10
Karnataka,INSULT TO THE MODESTY OF WOMEN,81,100,84,57,71,38,28,44,64,83,81,100
Kerala,INSULT TO THE MODESTY OF WOMEN,81,102,68,133,175,222,262,258,395,537,573,498
Madhya Pradesh,INSULT TO THE MODESTY OF WOMEN,751,783,705,804,792,762,780,758,728,918,762,774
Maharashtra,INSULT TO THE MODESTY OF WOMEN,1120,769,682,862,919,984,1039,1091,1099,1180,1071,1294
Manipur,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,2,0,0,1
Meghalaya,INSULT TO THE MODESTY OF WOMEN,0,0,1,0,0,0,1,4,1,0,1,0
Mizoram,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,4,0,0,0,1,0,1,0
Nagaland,INSULT TO THE MODESTY OF WOMEN,0,0,2,1,0,2,1,1,0,3,0,0
Odisha,INSULT TO THE MODESTY OF WOMEN,458,188,188,170,184,247,241,282,210,232,235,304
Punjab,INSULT TO THE MODESTY OF WOMEN,47,145,199,38,43,60,48,49,33,38,31,31
Rajasthan,INSULT TO THE MODESTY OF WOMEN,56,44,33,41,28,31,28,19,24,23,9,18
Sikkim,INSULT TO THE MODESTY OF WOMEN,14,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,INSULT TO THE MODESTY OF WOMEN,1012,1718,881,1081,665,852,875,974,501,638,464,382
Tripura,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,1,0,4,4,5,9,9,7
Uttar Pradesh,INSULT TO THE MODESTY OF WOMEN,2575,1887,4970,2682,2881,2714,2882,3374,2524,11,3,8
Uttarakhand,INSULT TO THE MODESTY OF WOMEN,84,97,98,110,89,113,63,306,249,165,72,73
West Bengal,INSULT TO THE MODESTY OF WOMEN,48,34,71,64,54,63,99,94,108,163,200,556
A&N Islands,INSULT TO THE MODESTY OF WOMEN,1,3,2,3,1,4,2,3,7,10,3,4
Chandigarh,INSULT TO THE MODESTY OF WOMEN,15,28,4,18,9,13,11,2,2,4,12,25
D&N Haveli,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,1,0,0,1,2,0,0
Daman & Diu,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,1,1,0,0,0
Delhi UT,INSULT TO THE MODESTY OF WOMEN,90,128,105,130,225,144,167,130,118,80,162,208
Lakshadweep,INSULT TO THE MODESTY OF WOMEN,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,INSULT TO THE MODESTY OF WOMEN,27,26,27,30,26,39,32,21,16,22,16,2
All India,INSULT TO THE MODESTY OF WOMEN,9746,10155,12325,10001,9984,9966,10950,12214,11009,9961,8570,9173
Andhra Pradesh,CRUELTY BY HUSBAND OR RELATIVES,5791,7018,8167,8388,8696,9164,11335,10306,11297,12080,13376,13389
Arunachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,11,13,14,4,9,14,20,13,13,12,18,26
Assam,CRUELTY BY HUSBAND OR RELATIVES,1248,1694,1808,1945,2206,2548,3000,3478,4398,5410,5246,6407
Bihar,CRUELTY BY HUSBAND OR RELATIVES,1558,1577,1880,2679,1574,1689,1635,1992,2532,2271,2607,3686
Chhattisgarh,CRUELTY BY HUSBAND OR RELATIVES,840,653,601,741,732,717,824,897,893,861,834,980
Goa,CRUELTY BY HUSBAND OR RELATIVES,11,8,24,17,11,14,14,12,21,17,18,24
Gujarat,CRUELTY BY HUSBAND OR RELATIVES,3667,3321,3684,3955,4090,4977,5827,6094,5506,5600,6052,6658
Haryana,CRUELTY BY HUSBAND OR RELATIVES,1513,1565,1618,2026,2075,2254,2412,2435,2617,2720,2740,3137
Himachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,317,234,221,252,228,259,342,343,284,275,239,251
Jammu & Kashmir,CRUELTY BY HUSBAND OR RELATIVES,50,54,71,82,76,135,176,162,196,211,286,301
Jharkhand,CRUELTY BY HUSBAND OR RELATIVES,484,588,559,588,590,668,801,851,710,650,659,1261
Karnataka,CRUELTY BY HUSBAND OR RELATIVES,1755,1826,1704,1588,1883,2129,2507,2638,3185,3441,3712,3684
Kerala,CRUELTY BY HUSBAND OR RELATIVES,2561,2836,2930,3222,3283,3708,3999,4138,4007,4797,5377,5216
Madhya Pradesh,CRUELTY BY HUSBAND OR RELATIVES,2562,3117,2938,3436,2989,2989,3294,3185,3983,3756,3732,3988
Maharashtra,CRUELTY BY HUSBAND OR RELATIVES,6090,5353,5452,5646,6233,6738,7356,7829,7681,7434,7136,7415
Manipur,CRUELTY BY HUSBAND OR RELATIVES,5,10,4,2,20,10,15,28,25,18,39,43
Meghalaya,CRUELTY BY HUSBAND OR RELATIVES,4,0,4,5,3,13,19,32,24,24,21,16
Mizoram,CRUELTY BY HUSBAND OR RELATIVES,16,3,3,0,0,1,2,5,4,3,9,8
Nagaland,CRUELTY BY HUSBAND OR RELATIVES,0,0,0,0,0,3,0,4,0,1,1,0
Odisha,CRUELTY BY HUSBAND OR RELATIVES,1266,1167,1289,1192,1671,694,728,1618,2047,2067,2320,2638
Punjab,CRUELTY BY HUSBAND OR RELATIVES,1128,944,987,801,729,801,971,984,1061,1163,1136,1293
Rajasthan,CRUELTY BY HUSBAND OR RELATIVES,5532,5691,5733,6781,5997,7038,8170,8113,10371,11145,12218,13312
Sikkim,CRUELTY BY HUSBAND OR RELATIVES,0,3,1,1,4,6,7,5,6,3,4,4
Tamil Nadu,CRUELTY BY HUSBAND OR RELATIVES,815,1052,1555,1437,1650,1248,1976,1648,1460,1570,1812,1965
Tripura,CRUELTY BY HUSBAND OR RELATIVES,227,236,247,302,439,471,545,735,815,937,702,858
Uttar Pradesh,CRUELTY BY HUSBAND OR RELATIVES,7365,5679,2626,4950,4505,5204,7650,8312,8566,7978,7121,7661
Uttarakhand,CRUELTY BY HUSBAND OR RELATIVES,301,316,317,405,272,358,463,340,361,334,307,368
West Bengal,CRUELTY BY HUSBAND OR RELATIVES,3859,4069,4948,6334,6936,7414,9900,13663,16112,17796,19772,19865
A&N Islands,CRUELTY BY HUSBAND OR RELATIVES,9,4,7,5,5,7,18,26,21,9,5,5
Chandigarh,CRUELTY BY HUSBAND OR RELATIVES,36,56,93,73,75,102,112,49,51,41,46,73
D&N Haveli,CRUELTY BY HUSBAND OR RELATIVES,4,3,2,3,5,5,3,4,3,3,3,0
Daman & Diu,CRUELTY BY HUSBAND OR RELATIVES,4,3,0,4,3,2,3,5,3,3,2,3
Delhi UT,CRUELTY BY HUSBAND OR RELATIVES,138,135,1211,1254,1324,1728,1787,1387,1283,1404,1575,1985
Lakshadweep,CRUELTY BY HUSBAND OR RELATIVES,0,0,1,1,0,1,2,1,0,0,0,1
Puducherry,CRUELTY BY HUSBAND OR RELATIVES,3,9,4,2,6,19,17,12,10,7,10,6
All India,CRUELTY BY HUSBAND OR RELATIVES,49170,49237,50703,58121,58319,63128,75930,81344,89546,94041,99135,106527
Andhra Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,1332,871,349,405,681,657,612,357,279,548,497,472
Arunachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,1
Assam,IMMORAL TRAFFIC(PREVENTION)ACT,6,24,22,28,25,29,21,27,37,25,21,30
Bihar,IMMORAL TRAFFIC(PREVENTION)ACT,29,10,9,24,28,13,27,39,40,24,23,35
Chhattisgarh,IMMORAL TRAFFIC(PREVENTION)ACT,12,12,7,9,6,13,14,4,9,12,15,5
Goa,IMMORAL TRAFFIC(PREVENTION)ACT,28,25,25,28,38,26,10,14,23,16,18,40
Gujarat,IMMORAL TRAFFIC(PREVENTION)ACT,61,57,74,33,59,78,44,52,41,46,46,44
Haryana,IMMORAL TRAFFIC(PREVENTION)ACT,21,32,57,62,85,85,88,77,90,57,57,69
Himachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,1,2,5,4,4,0,0,1,5,1,2,6
Jammu & Kashmir,IMMORAL TRAFFIC(PREVENTION)ACT,7,3,2,11,3,5,1,4,6,4,2,3
Jharkhand,IMMORAL TRAFFIC(PREVENTION)ACT,3,3,6,3,13,11,14,8,1,13,15,12
Karnataka,IMMORAL TRAFFIC(PREVENTION)ACT,1356,1388,1361,1170,1241,786,612,516,329,242,351,335
Kerala,IMMORAL TRAFFIC(PREVENTION)ACT,132,132,159,168,225,189,201,187,314,309,197,210
Madhya Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,15,14,33,23,19,12,19,10,19,19,24,13
Maharashtra,IMMORAL TRAFFIC(PREVENTION)ACT,233,182,179,309,222,378,322,327,271,306,390,366
Manipur,IMMORAL TRAFFIC(PREVENTION)ACT,4,6,0,0,1,0,0,0,0,0,0,15
Meghalaya,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,1,0,1,1,1,3,1,3,2,7
Mizoram,IMMORAL TRAFFIC(PREVENTION)ACT,2,0,0,5,1,0,0,1,1,0,8,0
Nagaland,IMMORAL TRAFFIC(PREVENTION)ACT,1,4,1,4,4,9,4,1,3,2,2,4
Odisha,IMMORAL TRAFFIC(PREVENTION)ACT,24,24,11,22,29,44,40,29,14,25,23,24
Punjab,IMMORAL TRAFFIC(PREVENTION)ACT,32,38,54,32,58,67,45,43,59,59,50,86
Rajasthan,IMMORAL TRAFFIC(PREVENTION)ACT,68,55,51,79,115,143,91,72,62,82,81,99
Sikkim,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,1,1,0,0,2,0,1,3,1,0
Tamil Nadu,IMMORAL TRAFFIC(PREVENTION)ACT,5232,3530,2839,3022,2777,1732,1199,687,716,567,420,500
Tripura,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,1,2,0
Uttar Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,26,42,47,44,31,70,49,57,39,23,43,31
Uttarakhand,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,0,4,2,3,9,3,6,4,3,12
West Bengal,IMMORAL TRAFFIC(PREVENTION)ACT,31,42,152,121,74,66,62,62,63,56,96,109
A&N Islands,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,0,0,0,0,1,0,1,3,3,2
Chandigarh,IMMORAL TRAFFIC(PREVENTION)ACT,3,3,4,9,9,3,5,7,4,3,1,0
D&N Haveli,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,2,0,0,0,2,3,0,1,1,2
Daman & Diu,IMMORAL TRAFFIC(PREVENTION)ACT,3,3,0,1,1,1,5,6,4,6,6,3
Delhi UT,IMMORAL TRAFFIC(PREVENTION)ACT,95,69,46,123,151,112,63,60,27,28,33,24
Lakshadweep,IMMORAL TRAFFIC(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,IMMORAL TRAFFIC(PREVENTION)ACT,39,27,13,4,5,8,5,3,9,11,3,4
All India,IMMORAL TRAFFIC(PREVENTION)ACT,8796,6598,5510,5748,5908,4541,3568,2660,2474,2499,2436,2563
Andhra Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,925,2403,909,1102,2657,1347,1005,889,704,753,314,21
Arunachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,0,0,0,0
Assam,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,10,3,0,0,0,0,0,2,0,0,1,3
Bihar,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,3,1,1,0,0,0,0,0,0,0,0,5
Chhattisgarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,1,1,0,1
Goa,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,0,0,0,0,0,0,0,1,0,3,0
Gujarat,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,4,14,0,0,0,0,0,0,0,0,0
